Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2008","2008","7021","Annual value","USD","1535","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","1543.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","367","Asparagus","2008","2008","7021","Annual value","USD","3888.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","486","Bananas","2008","2008","7021","Annual value","USD","1571.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","44","Barley","2008","2008","7021","Annual value","USD","262.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","414","Beans, green","2008","2008","7021","Annual value","USD","2331.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2008","2008","7021","Annual value","USD","678.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2008","2008","7021","Annual value","USD","579.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2008","2008","7021","Annual value","USD","610.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2008","2008","7021","Annual value","USD","2726.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","767","Cotton lint","2008","2008","7021","Annual value","USD","5340.4","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","329","Cottonseed","2008","2008","7021","Annual value","USD","288.4","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2008","2008","7021","Annual value","USD","2021.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2008","2008","7021","Annual value","USD","2414.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","560","Grapes","2008","2008","7021","Annual value","USD","742.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","USD","835.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","210","Lupins","2008","2008","7021","Annual value","USD","281","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","571","Mangoes, mangosteens, guavas","2008","2008","7021","Annual value","USD","2088.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2008","2008","7021","Annual value","USD","1323.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2008","2008","7021","Annual value","USD","1145","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1071","Meat live weight, duck","2008","2008","7021","Annual value","USD","1257.6","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1033","Meat live weight, goat","2008","2008","7021","Annual value","USD","822.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1056","Meat live weight, pig","2008","2008","7021","Annual value","USD","1342.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2008","2008","7021","Annual value","USD","1136.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1088","Meat live weight, turkey","2008","2008","7021","Annual value","USD","738.9","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","867","Meat, cattle","2008","2008","7021","Annual value","USD","2646.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2008","2008","7021","Annual value","USD","1709.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1017","Meat, goat","2008","2008","7021","Annual value","USD","1644.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1035","Meat, pig","2008","2008","7021","Annual value","USD","2002.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","977","Meat, sheep","2008","2008","7021","Annual value","USD","2273.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2008","2008","7021","Annual value","USD","951.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2008","2008","7021","Annual value","USD","404.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","449","Mushrooms and truffles","2008","2008","7021","Annual value","USD","5016","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","234","Nuts nes","2008","2008","7021","Annual value","USD","1392.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","75","Oats","2008","2008","7021","Annual value","USD","235.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","403","Onions, dry","2008","2008","7021","Annual value","USD","681.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","490","Oranges","2008","2008","7021","Annual value","USD","520.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2008","2008","7021","Annual value","USD","1140.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","521","Pears","2008","2008","7021","Annual value","USD","671","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","417","Peas, green","2008","2008","7021","Annual value","USD","208","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","116","Potatoes","2008","2008","7021","Annual value","USD","412.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","394","Pumpkins, squash and gourds","2008","2008","7021","Annual value","USD","604.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","523","Quinces","2008","2008","7021","Annual value","USD","671","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","270","Rapeseed","2008","2008","7021","Annual value","USD","454.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","27","Rice, paddy","2008","2008","7021","Annual value","USD","348.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","328","Seed cotton","2008","2008","7021","Annual value","USD","1602.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","83","Sorghum","2008","2008","7021","Annual value","USD","216.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","373","Spinach","2008","2008","7021","Annual value","USD","2583.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","544","Strawberries","2008","2008","7021","Annual value","USD","5561.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","156","Sugar cane","2008","2008","7021","Annual value","USD","21.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","122","Sweet potatoes","2008","2008","7021","Annual value","USD","1159.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2008","2008","7021","Annual value","USD","1132.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","388","Tomatoes","2008","2008","7021","Annual value","USD","889.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","567","Watermelons","2008","2008","7021","Annual value","USD","510","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","15","Wheat","2008","2008","7021","Annual value","USD","327.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","987","Wool, greasy","2008","2008","7021","Annual value","USD","4221.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","221","Almonds, with shell","2009","2009","7021","Annual value","USD","3852.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","711","Anise, badian, fennel, coriander","2009","2009","7021","Annual value","USD","1411.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","1435","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","526","Apricots","2009","2009","7021","Annual value","USD","1817.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","367","Asparagus","2009","2009","7021","Annual value","USD","5023.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","572","Avocados","2009","2009","7021","Annual value","USD","2222.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","486","Bananas","2009","2009","7021","Annual value","USD","1233.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","44","Barley","2009","2009","7021","Annual value","USD","180.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","176","Beans, dry","2009","2009","7021","Annual value","USD","317.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","414","Beans, green","2009","2009","7021","Annual value","USD","2043.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2009","2009","7021","Annual value","USD","441.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2009","2009","7021","Annual value","USD","538.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2009","2009","7021","Annual value","USD","552.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","531","Cherries","2009","2009","7021","Annual value","USD","7151.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","191","Chick peas","2009","2009","7021","Annual value","USD","351","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2009","2009","7021","Annual value","USD","1871.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","767","Cotton lint","2009","2009","7021","Annual value","USD","5485.4","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","329","Cottonseed","2009","2009","7021","Annual value","USD","296.2","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2009","2009","7021","Annual value","USD","1840.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","550","Currants","2009","2009","7021","Annual value","USD","1185.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","577","Dates","2009","2009","7021","Annual value","USD","3314.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2009","2009","7021","Annual value","USD","2268.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","507","Grapefruit (inc. pomelos)","2009","2009","7021","Annual value","USD","623.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","560","Grapes","2009","2009","7021","Annual value","USD","526.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","242","Groundnuts, with shell","2009","2009","7021","Annual value","USD","709.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","677","Hops","2009","2009","7021","Annual value","USD","14701.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","592","Kiwi fruit","2009","2009","7021","Annual value","USD","1778.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","497","Lemons and limes","2009","2009","7021","Annual value","USD","1371.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","201","Lentils","2009","2009","7021","Annual value","USD","809.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","USD","886","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","210","Lupins","2009","2009","7021","Annual value","USD","218.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","56","Maize","2009","2009","7021","Annual value","USD","220.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","571","Mangoes, mangosteens, guavas","2009","2009","7021","Annual value","USD","2339.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2009","2009","7021","Annual value","USD","1250.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2009","2009","7021","Annual value","USD","1164.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1071","Meat live weight, duck","2009","2009","7021","Annual value","USD","1284.7","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1033","Meat live weight, goat","2009","2009","7021","Annual value","USD","697.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1056","Meat live weight, pig","2009","2009","7021","Annual value","USD","1557.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2009","2009","7021","Annual value","USD","1273.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1088","Meat live weight, turkey","2009","2009","7021","Annual value","USD","754.8","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","867","Meat, cattle","2009","2009","7021","Annual value","USD","2500.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2009","2009","7021","Annual value","USD","1746.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1017","Meat, goat","2009","2009","7021","Annual value","USD","1403.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1035","Meat, pig","2009","2009","7021","Annual value","USD","2324.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","977","Meat, sheep","2009","2009","7021","Annual value","USD","2546.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2009","2009","7021","Annual value","USD","840","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2009","2009","7021","Annual value","USD","322.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","449","Mushrooms and truffles","2009","2009","7021","Annual value","USD","4484.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","234","Nuts nes","2009","2009","7021","Annual value","USD","1361","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","75","Oats","2009","2009","7021","Annual value","USD","168.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","260","Olives","2009","2009","7021","Annual value","USD","709.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","403","Onions, dry","2009","2009","7021","Annual value","USD","615.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","490","Oranges","2009","2009","7021","Annual value","USD","569.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","600","Papayas","2009","2009","7021","Annual value","USD","1918.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2009","2009","7021","Annual value","USD","1347.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","521","Pears","2009","2009","7021","Annual value","USD","772.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","187","Peas, dry","2009","2009","7021","Annual value","USD","269.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","417","Peas, green","2009","2009","7021","Annual value","USD","255","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","574","Pineapples","2009","2009","7021","Annual value","USD","436.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","536","Plums and sloes","2009","2009","7021","Annual value","USD","2238.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","116","Potatoes","2009","2009","7021","Annual value","USD","368.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","394","Pumpkins, squash and gourds","2009","2009","7021","Annual value","USD","517.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","270","Rapeseed","2009","2009","7021","Annual value","USD","427.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","547","Raspberries","2009","2009","7021","Annual value","USD","24356.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","27","Rice, paddy","2009","2009","7021","Annual value","USD","441.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","280","Safflower seed","2009","2009","7021","Annual value","USD","585.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","328","Seed cotton","2009","2009","7021","Annual value","USD","1645.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","83","Sorghum","2009","2009","7021","Annual value","USD","159.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","236","Soybeans","2009","2009","7021","Annual value","USD","429.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","373","Spinach","2009","2009","7021","Annual value","USD","2519.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","544","Strawberries","2009","2009","7021","Annual value","USD","5061.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","156","Sugar cane","2009","2009","7021","Annual value","USD","25","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","267","Sunflower seed","2009","2009","7021","Annual value","USD","542.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","122","Sweet potatoes","2009","2009","7021","Annual value","USD","936.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2009","2009","7021","Annual value","USD","1037.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","388","Tomatoes","2009","2009","7021","Annual value","USD","606","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","97","Triticale","2009","2009","7021","Annual value","USD","200.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","205","Vetches","2009","2009","7021","Annual value","USD","327.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","222","Walnuts, with shell","2009","2009","7021","Annual value","USD","3377","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","567","Watermelons","2009","2009","7021","Annual value","USD","560","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","15","Wheat","2009","2009","7021","Annual value","USD","219.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","987","Wool, greasy","2009","2009","7021","Annual value","USD","3350.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","1394.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","486","Bananas","2010","2010","7021","Annual value","USD","1481.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","44","Barley","2010","2010","7021","Annual value","USD","157.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2010","2010","7021","Annual value","USD","602.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","191","Chick peas","2010","2010","7021","Annual value","USD","396.3","","Official data"
